"Longitude" "Latitude" "Longneg" "Depth" "substrate" "substrate_code"
274.75 28.75 -85.25 116.118055555556 30 4
274.75 28.85 -85.25 92.1041666666667 20 3
274.75 28.95 -85.25 61.8958333333333 20 3
274.75 29.05 -85.25 42.9930555555556 30 4
274.75 29.15 -85.25 37.1180555555556 30 4
274.75 29.25 -85.25 33.4583333333333 30 4
274.75 29.35 -85.25 27.7152777777778 2 1
274.75 29.45 -85.25 23.6805555555556 20 3
274.75 29.55 -85.25 13.0694444444444 2 1
274.85 27.75 -85.15 467.194444444444 3 2
274.85 27.85 -85.15 416.75 30 4
274.85 27.95 -85.15 364.013888888889 30 4
274.85 28.05 -85.15 297.652777777778 3 2
274.85 28.15 -85.15 237.430555555556 3 2
274.85 28.25 -85.15 187.847222222222 3 2
274.85 28.35 -85.15 166.069444444444 30 4
274.85 28.45 -85.15 152.125 30 4
274.85 28.55 -85.15 136.458333333333 30 4
274.85 28.65 -85.15 119.944444444444 30 4
274.85 28.75 -85.15 98.6319444444444 30 4
274.85 28.85 -85.15 71.0347222222222 200 5
274.85 28.95 -85.15 54.5208333333333 20 3
274.85 29.05 -85.15 39.9375 30 4
274.85 29.15 -85.15 35.0208333333333 20 3
274.85 29.25 -85.15 30.9166666666667 30 4
274.85 29.35 -85.15 25.2222222222222 300 6
274.85 29.45 -85.15 20.2638888888889 300 6
274.85 29.55 -85.15 11.0902777777778 30 4
274.95 27.45 -85.05 493.034722222222 3 2
274.95 27.55 -85.05 446.805555555556 3 2
274.95 27.65 -85.05 406.993055555556 3 2
274.95 27.75 -85.05 374.034722222222 30 4
274.95 27.85 -85.05 344.236111111111 30 4
274.95 27.95 -85.05 299.951388888889 30 4
274.95 28.05 -85.05 250.5 30 4
274.95 28.15 -85.05 201.263888888889 20 3
274.95 28.25 -85.05 163.298611111111 20 3
274.95 28.35 -85.05 140.145833333333 20 3
274.95 28.45 -85.05 122.965277777778 20 3
274.95 28.55 -85.05 110.180555555556 20 3
274.95 28.65 -85.05 90.7013888888889 20 3
274.95 28.75 -85.05 69.7916666666667 2 1
274.95 28.85 -85.05 53.7291666666667 20 3
274.95 28.95 -85.05 47.1319444444444 30 4
274.95 29.05 -85.05 38.1111111111111 30 4
274.95 29.15 -85.05 33.0763888888889 30 4
274.95 29.25 -85.05 29.4236111111111 30 4
274.95 29.35 -85.05 24.4305555555556 300 6
274.95 29.45 -85.05 12.8888888888889 300 6
275.05 27.15 -84.95 493.826388888889 30 4
275.05 27.25 -84.95 446.013888888889 3000 8
275.05 27.35 -84.95 407.090277777778 3000 8
275.05 27.45 -84.95 372.895833333333 3000 8
275.05 27.55 -84.95 346.993055555556 3000 8
275.05 27.65 -84.95 320.902777777778 30 4
275.05 27.75 -84.95 302.256944444444 30 4
275.05 27.85 -84.95 279.993055555556 30 4
275.05 27.95 -84.95 251.083333333333 30 4
275.05 28.05 -84.95 211.479166666667 20 3
275.05 28.15 -84.95 167.472222222222 20 3
275.05 28.25 -84.95 133.805555555556 20 3
275.05 28.35 -84.95 107.590277777778 20 3
275.05 28.45 -84.95 92.5347222222222 20 3
275.05 28.55 -84.95 74.4305555555556 30 4
275.05 28.65 -84.95 58.9236111111111 200 5
275.05 28.75 -84.95 51.4444444444444 200 5
275.05 28.85 -84.95 47.375 200 5
275.05 28.95 -84.95 42.6111111111111 300 6
275.05 29.05 -84.95 39.2083333333333 200 5
275.05 29.15 -84.95 32.3055555555556 30 4
275.05 29.25 -84.95 28.0763888888889 30 4
275.05 29.35 -84.95 24.5972222222222 200 5
275.05 29.45 -84.95 15.1527777777778 200 5
275.15 26.85 -84.85 447.388888888889 30 4
275.15 26.95 -84.85 361.590277777778 3 2
275.15 27.05 -84.85 333.5 3 2
275.15 27.15 -84.85 314.368055555556 3 2
275.15 27.25 -84.85 300.958333333333 3000 8
275.15 27.35 -84.85 287.826388888889 3000 8
275.15 27.45 -84.85 275.041666666667 3000 8
275.15 27.55 -84.85 265.847222222222 3000 8
275.15 27.65 -84.85 254.541666666667 20 3
275.15 27.75 -84.85 248.243055555556 20 3
275.15 27.85 -84.85 232.930555555556 30 4
275.15 27.95 -84.85 212.013888888889 30 4
275.15 28.05 -84.85 169.319444444444 3 2
275.15 28.15 -84.85 127.826388888889 20 3
275.15 28.25 -84.85 95.9652777777778 20 3
275.15 28.35 -84.85 78.7291666666667 30 4
275.15 28.45 -84.85 64.4583333333333 30 4
275.15 28.55 -84.85 55.9861111111111 200 5
275.15 28.65 -84.85 52.0763888888889 300 6
275.15 28.75 -84.85 49.3125 200 5
275.15 28.85 -84.85 45.7083333333333 300 6
275.15 28.95 -84.85 42.3888888888889 300 6
275.15 29.05 -84.85 38.5694444444444 200 5
275.15 29.15 -84.85 33.9166666666667 300 6
275.15 29.25 -84.85 29.0486111111111 30 4
275.15 29.35 -84.85 26.1388888888889 30 4
275.15 29.45 -84.85 21.6041666666667 20 3
275.15 29.55 -84.85 13.4166666666667 30 4
275.25 26.35 -84.75 490.013888888889 300 6
275.25 26.45 -84.75 384.659722222222 300 6
275.25 26.55 -84.75 323.097222222222 30 4
275.25 26.65 -84.75 291.145833333333 20 3
275.25 26.75 -84.75 273.541666666667 20 3
275.25 26.85 -84.75 260.083333333333 2 1
275.25 26.95 -84.75 245.5 3 2
275.25 27.05 -84.75 234.166666666667 3 2
275.25 27.15 -84.75 228.472222222222 3 2
275.25 27.25 -84.75 229.875 3000 8
275.25 27.35 -84.75 226.576388888889 3000 8
275.25 27.45 -84.75 222.694444444444 20 3
275.25 27.55 -84.75 218.368055555556 20 3
275.25 27.65 -84.75 214.770833333333 20 3
275.25 27.75 -84.75 209.659722222222 30 4
275.25 27.85 -84.75 197.201388888889 3 2
275.25 27.95 -84.75 171.152777777778 3 2
275.25 28.05 -84.75 127.013888888889 20 3
275.25 28.15 -84.75 87.0069444444444 30 4
275.25 28.25 -84.75 73.8958333333333 30 4
275.25 28.35 -84.75 64.8472222222222 30 4
275.25 28.45 -84.75 60.9722222222222 20 3
275.25 28.55 -84.75 55.9236111111111 200 5
275.25 28.65 -84.75 53.2361111111111 300 6
275.25 28.75 -84.75 48.5902777777778 200 5
275.25 28.85 -84.75 42.8055555555556 20 3
275.25 28.95 -84.75 40.1666666666667 300 6
275.25 29.05 -84.75 37.1875 200 5
275.25 29.15 -84.75 34.25 300 6
275.25 29.25 -84.75 32.4375 2 1
275.25 29.35 -84.75 28.1458333333333 30 4
275.25 29.45 -84.75 24.5138888888889 20 3
275.25 29.55 -84.75 17.125 20 3
275.35 25.95 -84.65 481.888888888889 30 4
275.35 26.05 -84.65 385.055555555556 30 4
275.35 26.15 -84.65 315.402777777778 3000 8
275.35 26.25 -84.65 266.006944444444 3000 8
275.35 26.35 -84.65 248.881944444444 2000 7
275.35 26.45 -84.65 237.569444444444 30 4
275.35 26.55 -84.65 232.611111111111 30 4
275.35 26.65 -84.65 222.902777777778 20 3
275.35 26.75 -84.65 221.604166666667 20 3
275.35 26.85 -84.65 222 200 5
275.35 26.95 -84.65 215.4375 200 5
275.35 27.05 -84.65 206.791666666667 20 3
275.35 27.15 -84.65 199.326388888889 200 5
275.35 27.25 -84.65 190.638888888889 3000 8
275.35 27.35 -84.65 184.305555555556 300 6
275.35 27.45 -84.65 184.638888888889 30 4
275.35 27.55 -84.65 180.3125 20 3
275.35 27.65 -84.65 180.493055555556 2 1
